Invoice_ID,Date,Branch, CITY,Category,Product,Quantity,Unit_Price,Payment_Method,Customer_Type,Gender,Rating,Month,TOTAL_SALES,,,,,
INV001,04-04-2026,C,Nashik,Grocery,Tea,4,200,UPI,Normal,Female,3.5,APR,800,,,,Total Revenue,1899520
INV002,05-04-2026,C,Nashik,Grocery,Tea,4,200,UPI,Normal,Female,3.5,APR,800,,,,,
INV003,04-03-2026,C,Nashik,Clothing,Shirt,2,1140,UPI,Normal,Female,3.6,MAR,2280,,,,Total Quantity Sold,2183
INV004,07-06-2026,A,Mumbai,Electronics,Mouse,1,850,UPI,Normal,Male,4.7,JUN,850,,,,,
INV005,24-04-2026,C,Nashik,Clothing,Shirt,8,1160,Cash,Member,Male,4.0,APR,9280,,,,Number of Orders,499
INV006,28-02-2026,D,Thane,Clothing,T-Shirt,3,620,UPI,Member,Female,3.1,FEB,1860,,,,,
INV007,18-04-2026,B,Pune,Electronics,Earbuds,5,2210,UPI,Normal,Male,3.1,APR,11050,,,,Average Rating,4.0
INV008,28-04-2026,B,Pune,Grocery,Wheat Flour,3,60,Cash,Normal,Female,3.3,APR,180,,,,,
INV009,08-01-2026,D,Thane,Home & Kitchen,Storage Box,1,460,Net Banking,Normal,Female,4.9,JAN,460,,,,Average Sales/Order,3806.653307
INV010,11-06-2026,A,Mumbai,Beauty,Perfume,3,960,Card,Normal,Male,4.6,JUN,2880,,,,,
INV011,29-04-2026,A,Mumbai,Electronics,USB Cable,3,360,Cash,Normal,Male,4.2,APR,1080,,,,,
INV012,20-01-2026,B,Pune,Clothing,Jeans,4,1430,Cash,Normal,Female,4.1,JAN,5720,,,,,
INV013,07-06-2026,C,Nashik,Clothing,T-Shirt,1,600,UPI,Member,Female,3.6,JUN,600,,,,,
INV014,06-02-2026,D,Thane,Stationery,Diary,5,260,Wallet,Member,Female,3.7,FEB,1300,,,,,
INV015,23-01-2026,C,Nashik,Stationery,Pen Pack,2,80,Wallet,Member,Male,4.3,JAN,160,,,,,
INV016,09-04-2026,C,Nashik,Stationery,Notebook,6,130,Card,Member,Female,4.0,APR,780,,,,,
INV017,28-04-2026,B,Pune,Clothing,Dress,8,1620,UPI,Member,Female,3.1,APR,12960,,,,,
INV018,13-05-2026,A,Mumbai,Electronics,Bluetooth Speaker,5,1740,Wallet,Normal,Female,3.4,MAY,8700,,,,,
INV019,14-02-2026,D,Thane,Electronics,Keyboard,6,1080,Card,Member,Male,4.7,FEB,6480,,,,,
INV020,14-06-2026,D,Thane,Clothing,T-Shirt,8,570,Net Banking,Member,Female,4.0,JUN,4560,,,,,
INV021,17-02-2026,E,Nagpur,Grocery,Cooking Oil,3,150,UPI,Normal,Female,3.5,FEB,450,,,,,
INV022,30-01-2026,E,Nagpur,Beauty,Hair Oil,8,240,UPI,Member,Male,3.4,JAN,1920,,,,,
INV023,03-02-2026,E,Nagpur,Electronics,Bluetooth Speaker,8,1820,UPI,Normal,Female,5.0,FEB,14560,,,,,
INV024,03-03-2026,A,Mumbai,Stationery,Notebook,1,120,Card,Normal,Male,3.4,MAR,120,,,,,
INV025,23-01-2026,D,Thane,Stationery,Notebook,7,120,Cash,Member,Male,3.7,JAN,840,,,,,
INV026,25-04-2026,B,Pune,Stationery,Notebook,1,110,UPI,Member,Female,4.1,APR,110,,,,,
INV027,25-05-2026,E,Nagpur,Home & Kitchen,Cooker,5,1940,Cash,Normal,Male,4.7,MAY,9700,,,,,
INV028,12-01-2026,B,Pune,Grocery,Rice,4,80,Cash,Normal,Male,4.5,JAN,320,,,,,
INV029,21-05-2026,B,Pune,Grocery,Coffee,8,230,UPI,Normal,Male,4.3,MAY,1840,,,,,
INV030,10-02-2026,E,Nagpur,Clothing,Jacket,1,2140,UPI,Member,Female,4.1,FEB,2140,,,,,
INV031,15-01-2026,E,Nagpur,Beauty,Face Wash,3,260,Card,Normal,Male,4.5,JAN,780,,,,,
INV032,10-02-2026,D,Thane,Grocery,Pulses,3,110,Card,Normal,Female,3.1,FEB,330,,,,,
INV033,04-03-2026,C,Nashik,Home & Kitchen,Water Bottle,4,540,UPI,Member,Male,3.5,MAR,2160,,,,,
INV034,05-05-2026,E,Nagpur,Electronics,Headphones,2,1450,Wallet,Normal,Female,3.9,MAY,2900,,,,,
INV035,07-05-2026,A,Mumbai,Home & Kitchen,Dinner Set,1,1820,UPI,Member,Female,3.5,MAY,1820,,,,,
INV036,02-04-2026,A,Mumbai,Home & Kitchen,Storage Box,4,470,Card,Normal,Female,4.3,APR,1880,,,,,
INV037,20-02-2026,E,Nagpur,Electronics,Headphones,2,1440,Card,Normal,Male,3.2,FEB,2880,,,,,
